"","x"
"1-01-2015",0
"1-02-2015",0
"1-03-2015",0
"1-04-2015",0
"1-05-2015",0
"1-06-2015",0
"1-07-2015",0
"1-08-2015",7
"1-09-2015",0
"1-10-2015",1
"1-11-2015",9
"1-12-2015",22
"1-01-2016",23
"1-02-2016",2
"1-03-2016",0
"1-04-2016",21
"1-05-2016",1
"1-06-2016",0
"1-07-2016",3
"1-08-2016",5
"1-09-2016",4
"1-10-2016",9
"1-11-2016",23
"1-12-2016",29
"1-01-2017",17
"1-02-2017",6
"1-03-2017",0
"1-04-2017",11
"1-05-2017",0
"1-06-2017",109
"1-07-2017",16
"1-08-2017",16
"1-09-2017",9
"1-10-2017",6
"1-11-2017",13
"1-12-2017",11
"1-01-2018",25
"1-02-2018",0
