,sale_count
2016-01-03,0
2016-01-10,0
2016-01-17,0
2016-01-24,0
2016-01-31,0
2016-02-07,0
2016-02-14,0
2016-02-21,0
2016-02-28,0
2016-03-06,0
2016-03-13,0
2016-03-20,0
2016-03-27,0
2016-04-03,0
2016-04-10,0
2016-04-17,0
2016-04-24,0
2016-05-01,0
2016-05-08,0
2016-05-15,0
2016-05-22,0
2016-05-29,0
2016-06-05,0
2016-06-12,0
2016-06-19,0
2016-06-26,0
2016-07-03,0
2016-07-10,0
2016-07-17,0
2016-07-24,0
2016-07-31,0
2016-08-07,0
2016-08-14,0
2016-08-21,0
2016-08-28,0
2016-09-04,0
2016-09-11,0
2016-09-18,0
2016-09-25,2
2016-10-02,0
2016-10-09,1
2016-10-16,1
2016-10-23,0
2016-10-30,5
2016-11-06,11
2016-11-13,10
2016-11-20,10
2016-11-27,18
2016-12-04,2
2016-12-11,2
2016-12-18,3
2016-12-25,7
2017-01-01,11
2017-01-08,7
2017-01-15,6
2017-01-22,9
2017-01-29,23
2017-02-05,12
2017-02-12,15
2017-02-19,12
2017-02-26,45
2017-03-05,0
2017-03-12,0
2017-03-19,0
2017-03-26,0
2017-04-02,0
2017-04-09,1
2017-04-16,0
2017-04-23,1
2017-04-30,5
2017-05-07,0
2017-05-14,0
2017-05-21,0
2017-05-28,0
2017-06-04,9
2017-06-11,12
2017-06-18,8
2017-06-25,38
2017-07-02,0
2017-07-09,0
2017-07-16,0
2017-07-23,0
2017-07-30,0
2017-08-06,16
2017-08-13,15
2017-08-20,17
2017-08-27,32
2017-09-03,9
2017-09-10,16
2017-09-17,9
2017-09-24,32
2017-10-01,6
2017-10-08,5
2017-10-15,8
2017-10-22,9
2017-10-29,20
2017-11-05,15
2017-11-12,14
2017-11-19,18
2017-11-26,52
2017-12-03,7
2017-12-10,3
2017-12-17,4
2017-12-24,7
2017-12-31,17
2018-01-07,15
2018-01-14,17
2018-01-21,19
2018-01-28,53
2018-02-04,3
2018-02-11,5
2018-02-18,6
2018-02-25,10
